Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct
312,2380,2026-03-17 12:24:00,2,25,4,21,3,27,1,10,10,83,93,0.70
313,8820,2026-03-17 12:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
314,6050,2026-03-17 13:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
315,4250,2026-03-17 13:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
316,7550,2026-03-17 14:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
317,3250,2026-03-17 14:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
318,9180,2026-03-17 14:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
319,5280,2026-03-17 15:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
320,2680,2026-03-17 15:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
321,8080,2026-03-17 16:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
322,4480,2026-03-17 16:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25
323,6280,2026-03-17 16:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85
324,3680,2026-03-17 17:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05
325,8580,2026-03-17 17:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75
326,4980,2026-03-18 08:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45
327,2410,2026-03-18 08:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
328,8850,2026-03-18 08:48:00,9,80,13,67,10,86,4,20,36,253,289,2.30
329,6080,2026-03-18 09:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15
330,4280,2026-03-18 09:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25
331,7580,2026-03-18 10:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85
332,3280,2026-03-18 10:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95
333,9210,2026-03-18 10:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35
334,5310,2026-03-18 11:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65
335,2710,2026-03-18 11:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65
336,8110,2026-03-18 12:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
337,4510,2026-03-18 12:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95
338,6310,2026-03-18 12:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
339,3710,2026-03-18 13:12:00,6,54,10,46,7,59,3,16,26,175,201,1.60
340,8610,2026-03-18 13:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
341,5010,2026-03-18 14:00:00,9,83,14,70,11,89,5,21,39,263,302,2.50
342,2310,2026-03-18 14:24:00,4,46,8,39,6,49,2,14,20,148,168,1.20
343,7710,2026-03-18 14:48:00,7,65,11,54,9,70,4,17,31,206,237,1.80
344,4110,2026-03-18 15:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
345,9410,2026-03-18 15:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
346,2910,2026-03-18 16:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
347,6510,2026-03-18 16:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
348,4810,2026-03-18 16:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85
349,8310,2026-03-18 17:12:00,7,62,11,52,8,68,4,17,30,199,229,1.70
350,2210,2026-03-18 17:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
