Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct,Inter_Arrival_Min,Calculated_Wait_Min,Calculated_Service_Min,Calculated_Flow_Min,Wait_Error,Service_Error,Flow_Error,Batch_Group,Arrival_Hour
156,7510,2026-03-09 10:00:00,8,78,13,66,10,83,4,19,35,246,281,2.2,24.0,35,246,281,0,0,0,"(5255.0, 8000.0]",2026-03-09 10:00:00
157,3210,2026-03-09 10:24:00,3,33,6,27,4,36,2,12,15,108,123,0.9,24.0,15,108,123,0,0,0,"(2099.999, 3680.0]",2026-03-09 10:00:00
158,9140,2026-03-09 10:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-09 10:00:00
159,5240,2026-03-09 11:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(3680.0, 5255.0]",2026-03-09 11:00:00
160,2640,2026-03-09 11:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-09 11:00:00
161,8040,2026-03-09 12:00:00,9,84,14,70,11,90,5,21,39,265,304,2.5,24.0,39,265,304,0,0,0,"(8000.0, 9600.0]",2026-03-09 12:00:00
162,4440,2026-03-09 12:24:00,4,46,8,39,6,50,2,14,20,149,169,1.2,24.0,20,149,169,0,0,0,"(3680.0, 5255.0]",2026-03-09 12:00:00
163,6240,2026-03-09 12:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-09 12:00:00
164,3640,2026-03-09 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-09 13:00:00
165,8540,2026-03-09 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-09 13:00:00
166,4940,2026-03-09 14:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,24.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-09 14:00:00
167,2370,2026-03-09 14:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-09 14:00:00
168,8810,2026-03-09 14:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-09 14:00:00
169,6040,2026-03-09 15:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-09 15:00:00
170,4240,2026-03-09 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-09 15:00:00
171,7540,2026-03-09 16:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,24.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-09 16:00:00
172,3240,2026-03-09 16:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-09 16:00:00
173,9170,2026-03-09 16:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-09 16:00:00
174,5270,2026-03-09 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-09 17:00:00
175,2670,2026-03-09 17:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-09 17:00:00
176,8070,2026-03-10 08:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,864.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-10 08:00:00
177,4470,2026-03-10 08:24:00,4,47,8,39,6,50,2,14,20,150,170,1.2,24.0,20,150,170,0,0,0,"(3680.0, 5255.0]",2026-03-10 08:00:00
178,6270,2026-03-10 08:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-10 08:00:00
179,3670,2026-03-10 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-10 09:00:00
180,8570,2026-03-10 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-10 09:00:00
181,4970,2026-03-10 10:00:00,5,52,9,43,6,55,3,15,23,165,188,1.4,24.0,23,165,188,0,0,0,"(3680.0, 5255.0]",2026-03-10 10:00:00
182,2400,2026-03-10 10:24:00,2,25,4,21,3,27,1,10,10,83,93,0.7,24.0,10,83,93,0,0,0,"(2099.999, 3680.0]",2026-03-10 10:00:00
183,8840,2026-03-10 10:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-10 10:00:00
184,6070,2026-03-10 11:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-10 11:00:00
185,4270,2026-03-10 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-10 11:00:00
186,7570,2026-03-10 12:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,24.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-10 12:00:00
187,3270,2026-03-10 12:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-10 12:00:00
188,9200,2026-03-10 12:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-10 12:00:00
189,5300,2026-03-10 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-10 13:00:00
190,2700,2026-03-10 13:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-10 13:00:00
191,8100,2026-03-10 14:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,24.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-10 14:00:00
192,4500,2026-03-10 14:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25,24.0,22,152,174,0,0,0,"(3680.0, 5255.0]",2026-03-10 14:00:00
193,6300,2026-03-10 14:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85,24.0,32,210,242,0,0,0,"(5255.0, 8000.0]",2026-03-10 14:00:00
194,3700,2026-03-10 15:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05,24.0,18,126,144,0,0,0,"(3680.0, 5255.0]",2026-03-10 15:00:00
195,8600,2026-03-10 15:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75,24.0,42,283,325,0,0,0,"(8000.0, 9600.0]",2026-03-10 15:00:00
196,5000,2026-03-10 16:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45,24.0,23,167,190,0,0,0,"(3680.0, 5255.0]",2026-03-10 16:00:00
197,2300,2026-03-10 16:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-10 16:00:00
198,7700,2026-03-10 16:48:00,9,80,13,67,10,86,4,20,36,253,289,2.3,24.0,36,253,289,0,0,0,"(5255.0, 8000.0]",2026-03-10 16:00:00
199,4100,2026-03-10 17:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15,24.0,19,138,157,0,0,0,"(3680.0, 5255.0]",2026-03-10 17:00:00
200,9400,2026-03-10 17:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25,24.0,50,313,363,0,0,0,"(8000.0, 9600.0]",2026-03-10 17:00:00
201,2900,2026-03-11 08:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85,864.0,12,101,113,0,0,0,"(2099.999, 3680.0]",2026-03-11 08:00:00
202,6500,2026-03-11 08:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95,24.0,33,216,249,0,0,0,"(5255.0, 8000.0]",2026-03-11 08:00:00
203,4800,2026-03-11 08:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35,24.0,23,161,184,0,0,0,"(3680.0, 5255.0]",2026-03-11 08:00:00
204,8300,2026-03-11 09:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65,24.0,41,275,316,0,0,0,"(8000.0, 9600.0]",2026-03-11 09:00:00
205,2200,2026-03-11 09:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65,24.0,10,77,87,0,0,0,"(2099.999, 3680.0]",2026-03-11 09:00:00
206,7050,2026-03-11 10:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05,24.0,33,230,263,0,0,0,"(5255.0, 8000.0]",2026-03-11 10:00:00
207,3400,2026-03-11 10:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95,24.0,15,116,131,0,0,0,"(2099.999, 3680.0]",2026-03-11 10:00:00
208,9100,2026-03-11 10:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-11 10:00:00
209,5200,2026-03-11 11:12:00,6,54,10,46,7,59,3,16,26,175,201,1.6,24.0,26,175,201,0,0,0,"(3680.0, 5255.0]",2026-03-11 11:00:00
210,2600,2026-03-11 11:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-11 11:00:00
211,8000,2026-03-11 12:00:00,9,83,14,70,11,89,5,21,39,263,302,2.5,24.0,39,263,302,0,0,0,"(5255.0, 8000.0]",2026-03-11 12:00:00
212,4400,2026-03-11 12:24:00,4,46,8,39,6,49,2,14,20,148,168,1.2,24.0,20,148,168,0,0,0,"(3680.0, 5255.0]",2026-03-11 12:00:00
213,6200,2026-03-11 12:48:00,7,65,11,54,9,70,4,17,31,206,237,1.8,24.0,31,206,237,0,0,0,"(5255.0, 8000.0]",2026-03-11 12:00:00
214,3600,2026-03-11 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-11 13:00:00
215,8500,2026-03-11 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-11 13:00:00
216,4900,2026-03-11 14:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,24.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-11 14:00:00
217,2330,2026-03-11 14:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-11 14:00:00
218,8770,2026-03-11 14:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85,24.0,43,289,332,0,0,0,"(8000.0, 9600.0]",2026-03-11 14:00:00
219,6000,2026-03-11 15:12:00,7,62,11,52,8,68,4,17,30,199,229,1.7,24.0,30,199,229,0,0,0,"(5255.0, 8000.0]",2026-03-11 15:00:00
220,4200,2026-03-11 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-11 15:00:00
221,7500,2026-03-11 16:00:00,8,78,13,66,10,83,4,19,35,246,281,2.2,24.0,35,246,281,0,0,0,"(5255.0, 8000.0]",2026-03-11 16:00:00
222,3200,2026-03-11 16:24:00,3,33,6,27,4,36,2,12,15,108,123,0.9,24.0,15,108,123,0,0,0,"(2099.999, 3680.0]",2026-03-11 16:00:00
223,9130,2026-03-11 16:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-11 16:00:00
224,5230,2026-03-11 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(3680.0, 5255.0]",2026-03-11 17:00:00
225,2630,2026-03-11 17:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-11 17:00:00
226,8030,2026-03-12 08:00:00,9,84,14,70,11,90,5,21,39,265,304,2.5,864.0,39,265,304,0,0,0,"(8000.0, 9600.0]",2026-03-12 08:00:00
227,4430,2026-03-12 08:24:00,4,46,8,39,6,50,2,14,20,149,169,1.2,24.0,20,149,169,0,0,0,"(3680.0, 5255.0]",2026-03-12 08:00:00
228,6230,2026-03-12 08:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-12 08:00:00
229,3630,2026-03-12 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-12 09:00:00
230,8530,2026-03-12 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-12 09:00:00
231,4930,2026-03-12 10:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,24.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-12 10:00:00
232,2360,2026-03-12 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-12 10:00:00
233,8800,2026-03-12 10:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-12 10:00:00
234,6030,2026-03-12 11:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-12 11:00:00
235,4230,2026-03-12 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-12 11:00:00
236,7530,2026-03-12 12:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,24.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-12 12:00:00
237,3230,2026-03-12 12:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-12 12:00:00
238,9160,2026-03-12 12:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-12 12:00:00
239,5260,2026-03-12 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-12 13:00:00
240,2660,2026-03-12 13:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-12 13:00:00
241,8060,2026-03-12 14:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,24.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-12 14:00:00
242,4460,2026-03-12 14:24:00,4,47,8,39,6,50,2,14,20,150,170,1.2,24.0,20,150,170,0,0,0,"(3680.0, 5255.0]",2026-03-12 14:00:00
243,6260,2026-03-12 14:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-12 14:00:00
244,3660,2026-03-12 15:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-12 15:00:00
245,8560,2026-03-12 15:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-12 15:00:00
246,4960,2026-03-12 16:00:00,5,52,9,43,6,55,3,15,23,165,188,1.4,24.0,23,165,188,0,0,0,"(3680.0, 5255.0]",2026-03-12 16:00:00
247,2390,2026-03-12 16:24:00,2,25,4,21,3,27,1,10,10,83,93,0.7,24.0,10,83,93,0,0,0,"(2099.999, 3680.0]",2026-03-12 16:00:00
248,8830,2026-03-12 16:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-12 16:00:00
249,6060,2026-03-12 17:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-12 17:00:00
250,4260,2026-03-12 17:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-12 17:00:00
251,7560,2026-03-13 08:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,864.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-13 08:00:00
252,3260,2026-03-13 08:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-13 08:00:00
253,9190,2026-03-13 08:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-13 08:00:00
254,5290,2026-03-13 09:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(5255.0, 8000.0]",2026-03-13 09:00:00
255,2690,2026-03-13 09:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-13 09:00:00
256,8090,2026-03-13 10:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,24.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-13 10:00:00
257,4490,2026-03-13 10:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25,24.0,22,152,174,0,0,0,"(3680.0, 5255.0]",2026-03-13 10:00:00
258,6290,2026-03-13 10:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85,24.0,32,210,242,0,0,0,"(5255.0, 8000.0]",2026-03-13 10:00:00
259,3690,2026-03-13 11:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05,24.0,18,126,144,0,0,0,"(3680.0, 5255.0]",2026-03-13 11:00:00
260,8590,2026-03-13 11:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75,24.0,42,283,325,0,0,0,"(8000.0, 9600.0]",2026-03-13 11:00:00
261,4990,2026-03-13 12:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45,24.0,23,167,190,0,0,0,"(3680.0, 5255.0]",2026-03-13 12:00:00
262,2420,2026-03-13 12:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-13 12:00:00
263,8860,2026-03-13 12:48:00,9,80,13,67,10,86,4,20,36,253,289,2.3,24.0,36,253,289,0,0,0,"(8000.0, 9600.0]",2026-03-13 12:00:00
264,6090,2026-03-13 13:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15,24.0,19,138,157,0,0,0,"(5255.0, 8000.0]",2026-03-13 13:00:00
265,4290,2026-03-13 13:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25,24.0,50,313,363,0,0,0,"(3680.0, 5255.0]",2026-03-13 13:00:00
266,7590,2026-03-13 14:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85,24.0,12,101,113,0,0,0,"(5255.0, 8000.0]",2026-03-13 14:00:00
267,3290,2026-03-13 14:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95,24.0,33,216,249,0,0,0,"(2099.999, 3680.0]",2026-03-13 14:00:00
268,9220,2026-03-13 14:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35,24.0,23,161,184,0,0,0,"(8000.0, 9600.0]",2026-03-13 14:00:00
269,5320,2026-03-13 15:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65,24.0,41,275,316,0,0,0,"(5255.0, 8000.0]",2026-03-13 15:00:00
270,2720,2026-03-13 15:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65,24.0,10,77,87,0,0,0,"(2099.999, 3680.0]",2026-03-13 15:00:00
271,8120,2026-03-13 16:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05,24.0,33,230,263,0,0,0,"(8000.0, 9600.0]",2026-03-13 16:00:00
272,4520,2026-03-13 16:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95,24.0,15,116,131,0,0,0,"(3680.0, 5255.0]",2026-03-13 16:00:00
273,6320,2026-03-13 16:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(5255.0, 8000.0]",2026-03-13 16:00:00
274,3720,2026-03-13 17:12:00,6,54,10,46,7,59,3,16,26,175,201,1.6,24.0,26,175,201,0,0,0,"(3680.0, 5255.0]",2026-03-13 17:00:00
275,8620,2026-03-13 17:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(8000.0, 9600.0]",2026-03-13 17:00:00
276,5020,2026-03-16 08:00:00,9,83,14,70,11,89,5,21,39,263,302,2.5,3744.0,39,263,302,0,0,0,"(3680.0, 5255.0]",2026-03-16 08:00:00
277,2320,2026-03-16 08:24:00,4,46,8,39,6,49,2,14,20,148,168,1.2,24.0,20,148,168,0,0,0,"(2099.999, 3680.0]",2026-03-16 08:00:00
278,7720,2026-03-16 08:48:00,7,65,11,54,9,70,4,17,31,206,237,1.8,24.0,31,206,237,0,0,0,"(5255.0, 8000.0]",2026-03-16 08:00:00
279,4120,2026-03-16 09:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(3680.0, 5255.0]",2026-03-16 09:00:00
280,9420,2026-03-16 09:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-16 09:00:00
281,2920,2026-03-16 10:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,24.0,23,164,187,0,0,0,"(2099.999, 3680.0]",2026-03-16 10:00:00
282,6520,2026-03-16 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(5255.0, 8000.0]",2026-03-16 10:00:00
283,4820,2026-03-16 10:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85,24.0,43,289,332,0,0,0,"(3680.0, 5255.0]",2026-03-16 10:00:00
284,8320,2026-03-16 11:12:00,7,62,11,52,8,68,4,17,30,199,229,1.7,24.0,30,199,229,0,0,0,"(8000.0, 9600.0]",2026-03-16 11:00:00
285,2220,2026-03-16 11:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(2099.999, 3680.0]",2026-03-16 11:00:00
286,7070,2026-03-16 12:00:00,8,78,13,66,10,83,4,19,35,246,281,2.2,24.0,35,246,281,0,0,0,"(5255.0, 8000.0]",2026-03-16 12:00:00
287,3420,2026-03-16 12:24:00,3,33,6,27,4,36,2,12,15,108,123,0.9,24.0,15,108,123,0,0,0,"(2099.999, 3680.0]",2026-03-16 12:00:00
288,9120,2026-03-16 12:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05,24.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-16 12:00:00
289,5220,2026-03-16 13:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(3680.0, 5255.0]",2026-03-16 13:00:00
290,2620,2026-03-16 13:36:00,2,27,4,23,3,30,1,11,10,91,101,0.8,24.0,10,91,101,0,0,0,"(2099.999, 3680.0]",2026-03-16 13:00:00
291,8020,2026-03-16 14:00:00,9,84,14,70,11,90,5,21,39,265,304,2.5,24.0,39,265,304,0,0,0,"(8000.0, 9600.0]",2026-03-16 14:00:00
292,4420,2026-03-16 14:24:00,4,46,8,39,6,50,2,14,20,149,169,1.2,24.0,20,149,169,0,0,0,"(3680.0, 5255.0]",2026-03-16 14:00:00
293,6220,2026-03-16 14:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-16 14:00:00
294,3620,2026-03-16 15:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-16 15:00:00
295,8520,2026-03-16 15:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-16 15:00:00
296,4920,2026-03-16 16:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,24.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-16 16:00:00
297,2350,2026-03-16 16:24:00,2,24,4,20,3,26,1,10,10,80,90,0.7,24.0,10,80,90,0,0,0,"(2099.999, 3680.0]",2026-03-16 16:00:00
298,8790,2026-03-16 16:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-16 16:00:00
299,6020,2026-03-16 17:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75,24.0,30,201,231,0,0,0,"(5255.0, 8000.0]",2026-03-16 17:00:00
300,4220,2026-03-16 17:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15,24.0,20,141,161,0,0,0,"(3680.0, 5255.0]",2026-03-16 17:00:00
301,7520,2026-03-17 08:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25,864.0,35,249,284,0,0,0,"(5255.0, 8000.0]",2026-03-17 08:00:00
302,3220,2026-03-17 08:24:00,3,34,6,28,4,36,2,12,15,110,125,0.9,24.0,15,110,125,0,0,0,"(2099.999, 3680.0]",2026-03-17 08:00:00
303,9150,2026-03-17 08:48:00,11,96,16,81,14,103,6,24,47,304,351,3.1,24.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-17 08:00:00
304,5250,2026-03-17 09:12:00,6,55,10,46,7,59,3,16,26,176,202,1.6,24.0,26,176,202,0,0,0,"(3680.0, 5255.0]",2026-03-17 09:00:00
305,2650,2026-03-17 09:36:00,2,28,4,23,3,30,1,11,10,92,102,0.8,24.0,10,92,102,0,0,0,"(2099.999, 3680.0]",2026-03-17 09:00:00
306,8050,2026-03-17 10:00:00,9,84,14,71,11,90,5,21,39,266,305,2.5,24.0,39,266,305,0,0,0,"(8000.0, 9600.0]",2026-03-17 10:00:00
307,4450,2026-03-17 10:24:00,4,47,8,39,6,50,2,14,20,150,170,1.2,24.0,20,150,170,0,0,0,"(3680.0, 5255.0]",2026-03-17 10:00:00
308,6250,2026-03-17 10:48:00,7,65,11,55,9,70,4,17,31,207,238,1.8,24.0,31,207,238,0,0,0,"(5255.0, 8000.0]",2026-03-17 10:00:00
309,3650,2026-03-17 11:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05,24.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-17 11:00:00
310,8550,2026-03-17 11:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75,24.0,42,282,324,0,0,0,"(8000.0, 9600.0]",2026-03-17 11:00:00
311,4950,2026-03-17 12:00:00,5,52,9,43,6,55,3,15,23,165,188,1.4,24.0,23,165,188,0,0,0,"(3680.0, 5255.0]",2026-03-17 12:00:00
312,2380,2026-03-17 12:24:00,2,25,4,21,3,27,1,10,10,83,93,0.7,24.0,10,83,93,0,0,0,"(2099.999, 3680.0]",2026-03-17 12:00:00
313,8820,2026-03-17 12:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85,24.0,43,291,334,0,0,0,"(8000.0, 9600.0]",2026-03-17 12:00:00
